,RJ_No,title,circle,cast,price,sales,tag,date,imageRate
74,RJ253906,ふたなり乱交ビーチ-エクセラ編-,スタジオレイン,"砂糖しお,明日葉よもぎ",1100,217,"連続絶頂,外国人,水着,ラブラブ/あまあま,レズ/女同士,フタナリ",2019-06-03,0.012766945218198702
38,RJ278728,ふたなり少女に飼育されメス堕ち アナルにどっぷり種付けされて一発妊娠しました《バイノーラル》,LuvC&#039;d,砂糖しお,1100,2053,"淫語,バイノーラル/ダミヘ,学生,妊娠/孕ませ,調教,逆レイプ,アナル,フタナリ",2020-03-05,0.012708913649025074
35,RJ281615,【レズSM調教】ビデオカメラ前での無限イキ地獄。ふた周り以上も年下の教え子に、性玩具へと堕とされる黒い快楽。W責め仁王立ち絶頂で果てる奴隷担任マゾ女教師,RIN world,砂糖しお,1100,600,"女王様/お姫様,年下攻め,退廃/背徳/インモラル,寝取られ,百合,レズ/女同士,SM,言葉責め",2020-03-21,0.012708913649025072
65,RJ258044,エッチしないと出られない部屋に〇〇がいっしょに閉じ込められたら2,足跡の水たまり,"結姫うさぎ,御崎ひより,砂糖しお,秋山はるる",1100,84,"妹,学生,芸能人/アイドル/モデル,ラブラブ/あまあま,シリアス",2019-07-19,0.012534818941504178
77,RJ243413,ふたなり乱交ビーチ-あやめ編-,スタジオレイン,"砂糖しお,篠守ゆきこ",1100,452,"女性視点,連続絶頂,お姉さん,レズ/女同士,強制/無理矢理,フタナリ",2019-04-21,0.012070566388115135
45,RJ272777,看取られ音声3,オミ・オクル,"砂糖しお,小山ハル,月花うさぎ,浅木式",880,282,"感動,癒し,ロリ,学生,天使/悪魔,魔法使い/魔女",2019-12-28,0.011374187558031568
37,RJ279984,生イキ♂牝オチ♀インキュバスッ!～絶倫オタクと強制恋人契約編～,ナガレ亭,砂糖しお,880,630,"淫語,連続絶頂,バイノーラル/ダミヘ,男の娘,サキュバス/淫魔,褐色/日焼け",2020-03-06,0.011142061281337047
95,RJ241121,あしたのモニカ ～人間になった飼い犬女子とラブラブ結婚生活する百合音声～,プルシアン ブルー,砂糖しお,990,357,"人外娘/モンスター娘,屋外,ラブラブ/あまあま,初体験,百合,レズ/女同士,獣耳,貧乳/微乳",2018-12-22,0.010445682451253482
70,RJ254068,ふたなり乱交ビーチ-全編-,スタジオレイン,"砂糖しお,御崎ひより,篠守ゆきこ,明日葉よもぎ",3300,393,"連続絶頂,お姉さん,お嬢様,ギャル,外国人,フタナリ",2019-06-17,0.009981429897864437
14,RJ297147,騎士団長ミリア様の恥辱おマ〇コダンス謝罪,ドM女史団,砂糖しお,550,248,"淫語,バイノーラル/ダミヘ,強気受け,ファンタジー,アヘ顔,露出,羞恥/恥辱,強制/無理矢理",2020-08-17,0.009227019498607244
104,RJ233233,テニサー入会テストをおふろばでされちゃうボイス,High Island,砂糖しお,990,60,"着衣,フェチ,体育会系/スポーツ選手,ぶっかけ,言葉責め",2018-09-01,0.009192200557103064
49,RJ266679,NTR夫に頼まれて他の男に抱かれる妻,ナンネット,砂糖しお,660,1155,"バイノーラル/ダミヘ,ASMR,人妻,寝取られ",2019-11-02,0.00905292479108635
41,RJ276371,続・NTR夫に頼まれて他の男に抱かれる妻,ナンネット,砂糖しお,660,799,"バイノーラル/ダミヘ,ASMR,人妻,寝取られ",2020-02-08,0.00905292479108635
83,RJ240307,ふたなり乱交ビーチ-凛編-,スタジオレイン,"砂糖しお,御崎ひより",1320,485,"連続絶頂,ギャル,初体験,レズ/女同士,複数プレイ/乱交,フタナリ",2019-03-24,0.008356545961002784
71,RJ255350,恋する小悪魔～魅了と誘惑の好き好き求愛術～,BELL Plant,砂糖しお,990,905,"おっぱい,サキュバス/淫魔,色仕掛け,パイズリ,くすぐり,巨乳/爆乳",2019-06-14,0.008124419684308264
12,RJ297975,【足舐め・足コキ】小悪魔ギャルはキミを足コキで躾けたい,Dream or Real,砂糖しお,660,108,"フェチ,マニアック/変態,脚,靴下,ギャル,学校/学園,足コキ,焦らし",2020-08-27,0.008008356545961003
96,RJ240373,口づけは夜明けの前に～首筋で、吸血鬼はくすりと笑う～,思叫堂～ロア～,"大山チロル,白夜あこ,砂糖しお",1320,431,"バイノーラル/ダミヘ,ロリ,年上,人外娘/モンスター娘,ツインテール,貧乳/微乳",2018-12-15,0.007892293407613741
26,RJ287034,弟に性癖を開拓されて辛いんだけど黒幕は僕の彼女だった…,ゆとりえっくす,"ちゆ,砂糖しお",1100,393,"バイノーラル/ダミヘ,ショタ,恋人同士,寝取られ,ゲイ/男同士,羞恥/恥辱,和姦,逆レイプ",2020-06-06,0.00766016713091922
93,RJ241014,新米サキュバスとドキドキ百合えっちv,なつこん,砂糖しお,990,372,"女性視点,人外娘/モンスター娘,百合,レズ/女同士,貧乳/微乳",2018-12-22,0.007242339832869081
99,RJ233758,変身ヒロイン悪堕ち報告書3 正義の味方をドスケベ備品奴隷に洗脳改造,ドダメ屋さん,"砂糖しお,井上果林,大山チロル",1100,520,"変身ヒロイン,人外娘/モンスター娘,母乳,触手,洗脳",2018-11-03,0.006963788300835655
34,RJ281443,【おっぱいず★】おっぱいは世界を救うのだ☆彡(私のエッチな歌で抜けぇぇー!シリーズ),紙芝居屋さん十八軒目,-,1870,3069,"ロリ,女教師,お嬢様,芸能人/アイドル/モデル,学校/学園,ツンデレ",2020-04-05,0.0069637883008356535
72,RJ248541,黒い仔山羊の鳴く夜に～少女は嗤い、あなたを“マスター”と呼んだ～,思叫堂～ロア～,"砂糖しお,ある夫・Ａ",1100,294,"少女,人外娘/モンスター娘,年下攻め,ホラー,ロングヘア",2019-06-07,0.006406685236768803
80,RJ249557,変身ヒロイン悪堕ち報告書 総集編1,ドダメ屋さん,"井上果林,大山チロル,砂糖しお,紅月ことね",2420,751,"変身ヒロイン,けもの/獣化,催眠,悪堕ち,洗脳,フタナリ",2019-04-05,0.0060352831940575676
27,RJ288078,彼女を脱がせて辱め～見られて感じる露出デート,ナンネット,砂糖しお,660,226,"女性視点,バイノーラル/ダミヘ,ASMR,色仕掛け,浮気,露出,羞恥/恥辱",2020-05-23,0.004178272980501392
16,RJ294107,Story.3 傾国の白雪姫・中編 白雪親愛群像舞台,冷凍庫/freezer,"篠守ゆきこ,秋山はるる,砂糖しお,由羽,大山チロル",550,22,"健全,感動,シリーズもの,シリアス,金髪",2020-08-12,0.002506963788300836
