通し番号,RJナンバー,タイトル,サークル,声優,値段,販売数,ジャンル,発売日
114,RJ225415,"『お兄さんのぜ～んぶ、いやしてあげる』 ～ロリっ娘ひなちゃんがマジ天使な件～(バイノーラル)","WHITE RIBBON","逢坂成美",1100,1134,"癒し;バイノーラル/ダミヘ;ASMR;耳かき;ラブラブ/あまあま;ロリ",2018年05月26日
115,RJ226137,"ダウナーJKの貢がせデート～JKが女王様に目覚める瞬間～","ミツギアイ","逢坂成美",1100,542,"色仕掛け;売春/援交;ギャル;制服",2018年05月23日
116,RJ225375,"ふたなり音声詰め合わせ","スタジオレイン","結姫うさぎ;篠守ゆきこ;あま裂あづき;逢坂成美;一之瀬りと",2750,207,"連続絶頂;レズ/女同士;フタナリ",2018年05月13日
117,RJ223101,"金髪天使の誘惑～Blonde&#039;s Angel Temptation～","俺だけが得する音声工房","逢坂成美",990,2771,"バイノーラル/ダミヘ;中出し;フェラチオ;学生;外国人;ストッキング",2018年05月05日
118,RJ221925,"『搾精鬼女伝』～ドスケベな女の鬼にボクが長すぎる舌で搾精されちゃうお話～(バイノーラル)","WHITE RIBBON","逢坂成美;まさきふぁん",1100,922,"バイノーラル/ダミヘ;複数プレイ/乱交;逆レイプ;ショタ;妖怪;人外娘/モンスター娘",2018年04月23日
119,RJ222369,"癒し系専属ナースのゆいちゃんと菜々子ママに甘々&amp;バブみで包まれちゃうバイノーラル","ya-ho-games","陽向葵ゅか;浅木式;逢坂成美;愛枝今日子;みもりあいの",1320,2659,"癒し;恋人同士;手コキ;中出し;フェラチオ;ナース",2018年04月21日
120,RJ221713,"ふたなり百合性活","スタジオレイン","一之瀬りと;逢坂成美",1100,450,"中出し;レズ/女同士;レイプ;お姉さん;フタナリ;童貞",2018年04月10日
121,RJ222040,"わたしの可愛いペット君～甘々に可愛がられたり躾けられたり～","charmarry*","逢坂成美",880,731,"ラブラブ/あまあま;手コキ;フェラチオ;男性受け",2018年04月03日
122,RJ217550,"～耳舐めとオイルマッサージで癒してくれる～『あまとろJKりふれ』(バイノーラル)","WHITE RIBBON","逢坂成美",1100,675,"萌え;癒し;バイノーラル/ダミヘ;耳かき;ラブラブ/あまあま;学生",2018年02月22日
123,RJ219182,"【バイノーラル版】童貞を殺すお花屋さんの搾精庭園","きよみみっくす","秋野かえで;逢坂成美",1100,1408,"ラブラブ/あまあま;フェラチオ;言葉責め;男性受け",2018年02月21日
124,RJ219047,"ご主人様のことが大好きなメイドさんにひたすら甘く責められちゃう音声【バイノーラル】","アルファートリル","逢坂成美",1100,1111,"淫語;バイノーラル/ダミヘ;ラブラブ/あまあま;オナニー;言葉責め;男性受け",2018年02月16日
125,RJ218859,"Be My Valentine～貴方はダレを選びますか?～","ココナッツの夏！","秋野かえで;そらまめ。;陽向葵ゅか;逢坂成美",1320,1117,"癒し;手コキ;足コキ;中出し;フェラチオ",2018年02月14日
126,RJ218745,"貢ぎマゾ教団～女の子様にお金を捧げて天国へと導かれる音声～","ミツギアイ","-",1100,898,"マニアック/変態;色仕掛け",2018年02月07日
127,RJ215665,"【癒しバイノーラル】クールな後輩の耳かき添い寝 2nd + 1st 再収録版","夢音工房","逢坂成美",880,395,"癒し;催眠音声;耳かき;ラブラブ/あまあま;先輩/後輩;黒髪",2018年01月01日
128,RJ214952,"添い寝で安眠 耳かき・耳舐めハイレゾバイノーラル音声 CV:逢坂成美","雷夢","逢坂成美",1100,204,"癒し;耳かき;ラブラブ/あまあま;手コキ;ショタ;お姉さん",2017年12月31日
129,RJ215147,"イけなイコの弟くんに、性なる夜を...【全編バイノーラル】","ココナッツの夏！","逢坂成美",1320,909,"癒し;耳かき;耳舐め;義妹;ストッキング",2017年12月24日
130,RJ213130,"【催眠音声】お姉ちゃんのやさしい魔法","中央分離隊","逢坂成美",1100,531,"癒し;催眠;実姉;黒髪;巨乳/爆乳",2017年12月23日
131,RJ214742,"ご主人様を全力で癒したがるメイドはいかがですか?(ダミーヘッドバイノーラル)","知恵の実","逢坂成美",1100,985,"癒し;バイノーラル/ダミヘ;ASMR;耳かき",2017年12月16日
132,RJ214179,"木ノ葉村の奇妙な風習 山奥の耳舐め少女 バイノーラル ハイレゾ音源CV:逢坂成美(あいさかなるみ)","雷夢","逢坂成美",1100,334,"フェチ;耳かき;フェラチオ;羞恥/恥辱;少女;ロリ",2017年12月09日
133,RJ214195,"【全編バイノーラル収録】食べて笑って愛されて幼妻ちぃちゃんとのらぶらぶ新婚生活","ココナッツの夏！","逢坂成美",1320,2256,"癒し;バイノーラル/ダミヘ;耳かき;耳舐め",2017年12月08日
134,RJ211976,"ツンデレ幼馴染の告白～東雲 希沙良の場合～","ほいっぷくりぃむ","逢坂成美",770,548,"萌え;中出し;ツンデレ;幼なじみ;セーラー服;ツインテール",2017年12月08日
135,RJ211556,"兄さん、勝負です!～妹と添い寝で勝負の一週間～","Sister notes","逢坂成美",990,858,"オールハッピー;ラブラブ/あまあま;手コキ;中出し;フェラチオ;妹",2017年11月30日
136,RJ213770,"貢ぎマゾカウンセリング～マゾ性癖カウンセラーの貢がせ治療クリニック～","ミツギアイ","逢坂成美",1100,1132,"-",2017年11月29日
137,RJ212791,"眠れない添い寝2 お布団の中で密着される音声","B-bishop","逢坂成美",1100,4079,"淫語;足コキ;焦らし;男性受け;少女;無表情",2017年11月28日
138,RJ212767,"看病してもらった件","AaronPoint","逢坂成美",550,1250,"萌え;癒し;耳かき;ラブラブ/あまあま;日常/生活;ほのぼの",2017年11月22日
139,RJ208849,"あの夏。きみと。","ココナッツの夏！","逢坂成美;天知遥",1100,1079,"癒し;バイノーラル/ダミヘ;中出し;耳舐め",2017年11月03日
140,RJ211758,"ご主人様を好きすぎるメイドはダメですか?(ダミーヘッドバイノーラル)【96kHz/24bitハイレゾ】","知恵の実","逢坂成美",1320,3017,"癒し;バイノーラル/ダミヘ;耳舐め;メイド",2017年10月29日
141,RJ208283,"JKママに甘えたい ～全肯定癒され幸せ生活～","甘辛ギネコクラシー","逢坂成美",1100,1018,"癒し;ラブラブ/あまあま;手コキ",2017年10月13日
142,RJ208606,"Cure Nail-紗月","ディーブルスト","逢坂成美",770,2258,"癒し;ASMR;年上;お姉さん;制服",2017年10月08日
143,RJ209168,"【効果音&amp;音声の素材使用可♪】耳かきプレイヤー","黒月堂","-",880,133,"バイノーラル/ダミヘ;ASMR;耳かき;少女;年上;妹",2017年09月23日
144,RJ207681,"いもうてぃんぐ!〜親元を離れた一人暮らしの妹とのドスケベえっちが僕の生きがいです!〜","きよみみっくす","逢坂成美",880,1064,"ラブラブ/あまあま;淫乱;近親相姦;ロリ;妹;貧乳/微乳",2017年09月08日
145,RJ204810,"ボクの女装アカの存在がクラスの女子たちにバレてしまった件。","俺だけが得する音声工房","天知遥;逢坂成美",550,535,"淡白/あっさり;手コキ;オナニー;強制/無理矢理;コスプレ;女装",2017年08月23日
146,RJ195069,"dolls 苺【超リアル仕様】","VOICE LOVER","逢坂成美",1320,1202,"おっぱい;淫語;ラブラブ/あまあま;手コキ;ささやき;メイド",2017年07月08日
147,RJ197211,"プラムお姉ちゃんがいじめてあげるっ!","amoroso","逢坂成美",990,434,"手コキ;言葉責め;逆レイプ;男性受け;アナル;天使/悪魔",2017年06月11日
148,RJ194650,"木陰でオイタ三人姉妹丼","chocolat☆ぷろじぇくと","天知遥;君花みい;逢坂成美",1100,106,"姉妹",2017年03月20日
149,RJ194543,"癒し系専属ナースの七海さん六海さんに愛されちゃうバイノーラル","ya-ho-games","野上菜月;愛枝今日子;紅葉美兎;みもりあいの;御上みみ;浅木式;逢坂成美;藤村莉央;伊吹雫;遠藤茉愛",1320,6974,"癒し;恋人同士;手コキ;中出し;フェラチオ;ナース",2017年03月11日
150,RJ188134,"お姉ちゃんごっこ倶楽部 あまえん房 るみな【超リアル仕様】","VOICE LOVER","逢坂成美",1320,1978,"淫語;手コキ;オナニー;耳舐め;ささやき",2017年02月18日
151,RJ193222,"プラムがお兄さんを堕落させてあげるっ!","amoroso","逢坂成美",990,621,"手コキ;足コキ;調教;言葉責め;逆レイプ;天使/悪魔",2017年02月10日
152,RJ183750,"テンプレカノジョ -大崎舞-","Plime","逢坂成美",550,154,"癒し;日常/生活;幼なじみ;学生;先輩/後輩;制服",2016年08月24日
153,RJ180363,"あまとろ病ん娘～ゆかりとお風呂でいちゃラブしましょう?～【96KHz/24bit ハイレゾ】","あまとろスイーツ","逢坂成美",990,611,"恋人同士;パイズリ;ローション;お嬢様;ヤンデレ;ロングヘア",2016年07月21日
