通し番号,RJナンバー,タイトル,サークル,声優,値段,販売数,ジャンル,発売日
25,RJ281047,"お酒好きエルフお姉さんをお持ち帰りする話","スタジオレイン","逢坂成美",1430,321,"連続絶頂;ラブラブ/あまあま;おねショタ;中出し;耳舐め;お姉さん;エルフ/妖精",2020年03月13日
26,RJ277405,"かすみ、あなたの妻ですから!～私もオトナになったんです～","E*17","こやまはる",1100,349,"オールハッピー;耳かき;ラブラブ/あまあま;人妻",2020年03月10日
27,RJ279106,"どすけべ音声集","連動音声つくり隊","御上みみ;かなせ;西浦のどか;逢坂成美;柚木つばめ",990,289,"ソフトエッチ;手コキ;パイズリ;フェラチオ;言葉責め;男性受け;乳首/乳輪",2020年03月06日
28,RJ266580,"【快楽堕ち】サキュバスサヴァイブ-淫魔の姉妹に捕らえられた僕【敗北】","ディーブルスト","野上菜月;逢坂成美",1430,2226,"バイノーラル/ダミヘ;ファンタジー;足コキ;中出し;フェラチオ;羞恥/恥辱;男性受け;サキュバス/淫魔",2020年03月04日
29,RJ278430,"【ASMR】こんな俺でも愛してくれっ!! ～陰キャくん救済彼女～","童帝の見解","逢坂成美",990,333,"癒し;フェチ;ASMR;ラブラブ/あまあま;日常/生活;純愛;フェラチオ;ショートカット",2020年02月29日
30,RJ277936,"耳舐め荘の射精管理人さんに、毎日らぶらぶな耳舐めをしてもらうお話♪","ダチュラスクリプト","逢坂成美",1320,4242,"淫語;バイノーラル/ダミヘ;耳かき;ラブラブ/あまあま;中出し;お姉さん",2020年02月22日
31,RJ277425,"【KU100】さいみんレコーディング ～バイノーラルマイクになって「収録」されちゃう音声～",".␣ [Dot-Space]","逢坂成美;秋野かえで",1100,1238,"逆転無し;バイノーラル/ダミヘ;催眠音声;言葉責め;男性受け",2020年02月21日
32,RJ278288,"『先輩とロッカーの中で…』 ～えっちな先輩JKとロッカー内でねっとり密着イチャラブ～ (バイノーラル)","WHITE RIBBON","逢坂成美;秋野かえで;山田じぇみ子",1100,346,"バイノーラル/ダミヘ;ASMR;おねショタ;耳舐め;ささやき;先輩/後輩",2020年02月19日
33,RJ278090,"だべろう屋 第四弾","ココナッツの夏！","秋野かえで;逢坂成美",550,713,"萌え;癒し;バイノーラル/ダミヘ;ASMR;日常/生活;百合",2020年02月14日
34,RJ272274,"おねだりじょ～ずのアオイちゃん～女の子なんかにおじさんは負けたりしないよねっ","俺だけが得する音声工房","逢坂成美",990,132,"淡白/あっさり;逆転無し;バイノーラル/ダミヘ;オナニー;フェラチオ;少女",2020年01月29日
35,RJ275694,"『添い寝で看病  Ver.先輩 看病バイノーラル音声 耳かき・耳舐め・ハイレゾ CV:逢坂成美","雷夢","逢坂成美",550,517,"癒し;フェチ;ASMR;耳舐め;義姉;お姉さん",2020年01月25日
36,RJ276098,"無人島いちゃらぶ生活シリーズ","スタジオレイン","陽向葵ゅか;一之瀬りと;逢坂成美",3740,307,"連続絶頂;ラブラブ/あまあま;おねショタ;妊娠/孕ませ;耳舐め;処女",2020年01月22日
37,RJ272865,"放課後!!性欲処理マネージャー制度 #ラクロス部先輩JKの専用生オナホSchoolLife♪","ろんりーわん","逢坂成美",1100,1591,"バイノーラル/ダミヘ;ASMR;手コキ;中出し;フェラチオ;ごっくん/食ザー",2020年01月20日
38,RJ271859,"あなた専用 2人の性指導を受けた年下処女お姉さんが甘々筆下ろし +受付お姉さん","ルヒー出版","秋山はるる;涼花みなせ;逢坂成美",1320,1426,"ラブラブ/あまあま;ハーレム;中出し;口内射精;童貞;処女",2020年01月15日
39,RJ273373,"だべろう屋第三弾","ココナッツの夏！","秋野かえで;逢坂成美;山田じぇみ子",550,902,"萌え;癒し;バイノーラル/ダミヘ;ASMR;百合",2019年12月25日
40,RJ266583,"【極上の空の旅】Cure Attendant-咲愛2","ディーブルスト","逢坂成美",1430,2329,"癒し;バイノーラル/ダミヘ;ASMR;ラブラブ/あまあま;手コキ;中出し;耳舐め;お姉さん",2019年12月22日
41,RJ270365,"無人島いちゃらぶ生活3","スタジオレイン","逢坂成美",1430,276,"連続絶頂;ラブラブ/あまあま;おねショタ;中出し;妊娠/孕ませ;耳舐め",2019年12月05日
